,address,lat,long,PIN,date,description,tokenized_final,cost,value,year
236739,913 RYAN ST,39.284193,-76.632428,0282060,05/05/2014,install plumbing for renovated house. reconstruct water and sewer fro house. install 2 new toilets  2 new lavatories  2 new showers  1 kitchen sink and 1 sewage ejector pump. install gas for new 50k btu water heater and a 45k btu stove / oven as per code,"['install', 'plumbing', 'renovated', 'house', 'reconstruct', 'water', 'sewer', 'fro', 'house', 'install', 'toilets', 'lavatories', 'showers', 'kitchen', 'sink', 'sewage', 'ejector', 'pump', 'install', 'gas', '50k', 'btu', 'water', 'heater', '45k', 'btu', 'stove', '/', 'oven']",4000.0,150000.0,2014
237764,1420 GITTINGS AVE,39.369645,-76.585249,5210F037,05/01/2014,exterior work - install sewage cleanout in yard on private property as per code.,"['exterior', 'install', 'sewage', 'cleanout', 'yard', 'private', 'property']",1800.0,90000.0,2014
239000,3901 CONDUIT AVE,39.334433,-76.637898,3575094,05/21/2014,placement of temporary office trailer. hook up trailer to electricity  place temporary sewage/fresh water tanks @trailer. install 200amp srv w/2ckts  connect sewage and water to 2 fixtures. work done to code and per sketch.,"['placement', 'temporary', 'office', 'trailer', 'hook', 'trailer', 'electricity', 'place', 'temporary', 'sewage/fresh', 'water', 'tanks', 'trailer', 'install', '200amp', 'srv', 'w/2ckts', 'connect', 'sewage', 'water', 'fixtures', 'done', 'sketch']",12000.0,157300.0,2014
239642,718 S CURLEY ST,39.283881,-76.57493,1843B085,05/21/2014,reconstruct water and waste for 3 toilets  3 vanities  2 showers  1 tub  1 kitchen sink and 1 washing machine. install sewage ejector pit and pump. install sump pump and drain tile. install 50 gal electric water heater. install gas lines for 1 - 75 000 btu furnace and 1 - 40 000 btu stove. hvac and electric by others. all work done as per code.,"['reconstruct', 'water', 'waste', 'toilets', 'vanities', 'showers', 'tub', 'kitchen', 'sink', 'washing', 'machine', 'install', 'sewage', 'ejector', 'pit', 'pump', 'install', 'sump', 'pump', 'drain', 'tile', 'install', 'gal', 'electric', 'water', 'heater', 'install', 'gas', 'lines', 'btu', 'furnace', 'btu', 'stove', 'hvac', 'electric', 'others', 'done']",6600.0,337700.0,2014
234894,3710 FAIT AVE,39.283623,-76.565635,6444035,04/10/2014,reconstruct interior waste and water to three bathrooms  one kitchen  one washing machine  two hose bibs  sewage ejectror pump  sump pump and electric water heater  check valve on water main. install new gas line to furnace 75 000 and stove 40 000 as per code.                             * hvac by others *,"['reconstruct', 'interior', 'waste', 'water', 'three', 'bathrooms', 'one', 'kitchen', 'one', 'washing', 'machine', 'two', 'hose', 'bibs', 'sewage', 'ejectror', 'pump', 'sump', 'pump', 'electric', 'water', 'heater', 'check', 'valve', 'water', 'main', 'install', 'gas', 'line', 'furnace', 'stove', '*', 'hvac', 'others', '*']",8000.0,352967.0,2014
246233,2032 JEFFERSON ST,39.296508,-76.587851,1651042,08/05/2014,set new fixtures (1) electric water heater. (2) sewage ejector pumps  (1) sump pump  (2) kitchen faucets with drains/trap waste only. (6) toilets  (6) vanities  (6) tub & shower trim  (2) gas furnaces 72 000 btu's. connect sewer to existing pipe in front sidewalk to existing drain in basement. pull new water service from meter insidewalk through sleve into basement as existing shut off as per code.                                      * electric & hvac by others *,"['set', 'fixtures', 'electric', 'water', 'heater', 'sewage', 'ejector', 'pumps', 'sump', 'pump', 'kitchen', 'faucets', 'drains/trap', 'waste', 'toilets', 'vanities', 'tub', 'shower', 'trim', 'gas', 'furnaces', 'btu', ""'s"", 'connect', 'sewer', 'existing', 'pipe', 'front', 'sidewalk', 'existing', 'drain', 'basement', 'pull', 'water', 'service', 'meter', 'insidewalk', 'sleve', 'basement', 'existing', 'shut', '*', 'electric', 'hvac', 'others', '*']",2000.0,240000.0,2014
252717,4111 GLENARM AVE,39.345714,-76.541718,5695F100,10/14/2014,reconstruct waste and water piping. (1) sump pump. basement - (1) toilet  (1) basin  (1) tub  (1) hot water heater  (1) sewage ejector. 1st floor - (1) kitchen sink  (1) dishwasher  (1) toilet  (1) basin. 2nd floor - (1) toilet  (1) basin  (1) tub. (1) ac unit and ductwork. run gas line to furnace4 95k btu  range 40k btu and hot water heater 40k btu as per code.                          * electric by others *,"['reconstruct', 'waste', 'water', 'piping', 'sump', 'pump', 'basement', 'toilet', 'basin', 'tub', 'hot', 'water', 'heater', 'sewage', 'ejector', '1st', 'floor', 'kitchen', 'sink', 'dishwasher', 'toilet', 'basin', '2nd', 'floor', 'toilet', 'basin', 'tub', 'ac', 'unit', 'ductwork', 'run', 'gas', 'line', 'furnace4', '95k', 'btu', 'range', '40k', 'btu', 'hot', 'water', 'heater', '40k', 'btu', '*', 'electric', 'others', '*']",4000.0,130800.0,2014
251292,3202 KESWICK ROAD,39.325939,-76.627726,3503002,09/24/2014,rough in water & drain lines for basement powder room and washer connections - install sewage ejector pump. run gas line for dryer - 30 000 btu. ejector pit and ground work is already existing as per code.,"['rough', 'water', 'drain', 'lines', 'basement', 'powder', 'room', 'washer', 'connections', 'install', 'sewage', 'ejector', 'pump', 'run', 'gas', 'line', 'dryer', 'btu', 'ejector', 'pit', 'ground', 'already', 'existing']",3800.0,237867.0,2014
256603,817 S ROSE ST,39.282474,-76.580506,1865075,11/17/2014,install 9 new plumbing fixture  50 gal. electric water heater  sewage ejector  62k gas range  80k gas furnace  45k gas dryer. reconstruct sewer and water. electrical by others. all work done as per sketch/code.,"['install', 'plumbing', 'fixture', 'gal', 'electric', 'water', 'heater', 'sewage', 'ejector', '62k', 'gas', 'range', '80k', 'gas', 'furnace', '45k', 'gas', 'dryer', 'reconstruct', 'sewer', 'water', 'electrical', 'others', 'done', 'sketch/code']",12000.0,386400.0,2014
256047,3810 FOSTER AVE,39.284679,-76.56462,6435011,11/14/2014,install piping for 12 fixtures. gas to furnace 90 000 btu  stove 35 000 btu  sewage ejector pump  sump pump and drain tile. reconstruct water and waste. all work done as per code.,"['install', 'piping', 'fixtures', 'gas', 'furnace', 'btu', 'stove', 'btu', 'sewage', 'ejector', 'pump', 'sump', 'pump', 'drain', 'tile', 'reconstruct', 'water', 'waste', 'done']",5200.0,303167.0,2014
254385,3425 FALLS ROAD,39.328901,-76.634291,3526018,10/29/2014,repipe basement water lines and 2 hose bibbs. replace sewage lines in basement. 1st floor 1 single bowl kit. sink and garbage disposal - 1 ice maker. 2nd floor - new master bath shower with steam  1 toilet and 1 vanity. 3/4 gas line to stove 45 000 btus - gas line 1/2 to dryer. repipe 2nd floor existing bath water lines. all work done as per code.,"['repipe', 'basement', 'water', 'lines', 'hose', 'bibbs', 'replace', 'sewage', 'lines', 'basement', '1st', 'floor', 'single', 'bowl', 'kit', 'sink', 'garbage', 'disposal', 'ice', 'maker', '2nd', 'floor', 'master', 'bath', 'shower', 'steam', 'toilet', 'vanity', '3/4', 'gas', 'line', 'stove', 'btus', 'gas', 'line', '1/2', 'dryer', 'repipe', '2nd', 'floor', 'existing', 'bath', 'water', 'lines', 'done']",3500.0,186833.0,2014
253144,3808 GLENGYLE AVE,39.364794,-76.709026,4218A022,10/14/2014,reconstruct waste and water. 1 sump pump. basement - (1) toilet  (1) basin  (1) tub  (1) hot water tank  (1) sewage ejector. 1st floor - (1) kitche4n sink  (1) dishwasher. 2nd floor - (1) toilet  (1) basin  (1) tub. run gas line to furnace 95k btu  range 40k btu and hot water tank 40k btu as per code.                                     * hvac & electric by others *,"['reconstruct', 'waste', 'water', 'sump', 'pump', 'basement', 'toilet', 'basin', 'tub', 'hot', 'water', 'tank', 'sewage', 'ejector', '1st', 'floor', 'kitche4n', 'sink', 'dishwasher', '2nd', 'floor', 'toilet', 'basin', 'tub', 'run', 'gas', 'line', 'furnace', '95k', 'btu', 'range', '40k', 'btu', 'hot', 'water', 'tank', '40k', 'btu', '*', 'hvac', 'electric', 'others', '*']",9000.0,179133.0,2014
246378,1224 SAINT PAUL ST,39.304281,-76.614533,0484013,07/31/2014,as per chap notice to proceed:emergency repair in rear yard of underground sewage pipe  repair and replace concrete parking pad to match.,"['chap', 'notice', 'proceed', 'emergency', 'repair', 'rear', 'yard', 'underground', 'sewage', 'pipe', 'repair', 'replace', 'concrete', 'parking', 'pad', 'match']",2000.0,467900.0,2014
247003,3629 HICKORY AVE,39.332145,-76.634093,3539013,08/04/2014,redo all plumbing in house house was on fire. including water and drain lines to powder room  kitchen  master bathroom  laundry room & 2nd floor hall bathroom. run gas piping to 70 000 btu loft furnace  70 000 basement furnace 36 000 btu water heater 78 400 btu range 14 fixtures will be reconstructed. reconstruct water and sewage. gas meter. install 14 plumbing fixtures as per code,"['redo', 'plumbing', 'house', 'house', 'fire', 'including', 'water', 'drain', 'lines', 'powder', 'room', 'kitchen', 'master', 'bathroom', 'laundry', 'room', '2nd', 'floor', 'hall', 'bathroom', 'run', 'gas', 'piping', 'btu', 'loft', 'furnace', 'basement', 'furnace', 'btu', 'water', 'heater', 'btu', 'range', 'fixtures', 'reconstructed', 'reconstruct', 'water', 'sewage', 'gas', 'meter', 'install', 'plumbing', 'fixtures']",10000.0,181967.0,2014
249390,528 S PACA ST,39.283677,-76.623609,0686015,08/22/2014,reconstruct water and waste piping and sump pump. basement: install (1) toilet  (1) sewage ejector pump  (1) bar sink  (1) washer hookup. on 1st floor: install (1) toilet  (1) vanity  (1) kitchen sink  (1) garbage disposal  (1) dishwasher  (1) gas oven. on the 2nd floor: install (2) toilets  (2) tubs  (2) vanity  (1) washer/dryer hookup. on the 3rd floor: install (1) toilet  (1) basin  (1) tub  (1) bar sink. install (2) a/c 2.5-ton (total 5-tons)   60 btu and ductwork and run gas line to (2) funaces 200 000 btu's and (1) range 40k as per code.                                * electric by others *,"['reconstruct', 'water', 'waste', 'piping', 'sump', 'pump', 'basement', 'install', 'toilet', 'sewage', 'ejector', 'pump', 'bar', 'sink', 'washer', 'hookup', '1st', 'floor', 'install', 'toilet', 'vanity', 'kitchen', 'sink', 'garbage', 'disposal', 'dishwasher', 'gas', 'oven', '2nd', 'floor', 'install', 'toilets', 'tubs', 'vanity', 'washer/dryer', 'hookup', '3rd', 'floor', 'install', 'toilet', 'basin', 'tub', 'bar', 'sink', 'install', 'a/c', '2.5-ton', 'total', '5-tons', 'btu', 'ductwork', 'run', 'gas', 'line', 'funaces', 'btu', ""'s"", 'range', '40k', '*', 'electric', 'others', '*']",5000.0,180700.0,2014
248972,302 W 28TH ST,39.321064,-76.621821,3651040,09/02/2014,new water & sewage in srdc bold  1 hose bibb. 1 bath  1 tub & shower  1 toilet  1 basin. 1 powder room  1 toilet  1 basin. 1 kit sink  1 garbage disposal  dishwasher. 1 elect water heater  exp tank. gas for furnace 75 000 & gas for stove 45 000 as per code.,"['water', 'sewage', 'srdc', 'bold', 'hose', 'bibb', 'bath', 'tub', 'shower', 'toilet', 'basin', 'powder', 'room', 'toilet', 'basin', 'kit', 'sink', 'garbage', 'disposal', 'dishwasher', 'elect', 'water', 'heater', 'exp', 'tank', 'gas', 'furnace', 'gas', 'stove']",25000.0,165533.0,2014
247185,1417 LOWMAN ST,39.270457,-76.595202,2018B009,08/08/2014,reconstruct waste and water for 3 toilets  1 tub  2 showers  3 vanities  kitchen sink  and washing machine. install 50 gal electric water heater. install sewage ejector pit and pump. install sump and drain tile. install new gas line for 1-40 000 btu stove and 1-75 000 btu furnace hvac and electric and electric by others all work done per code no curbing or underpinning as per code,"['reconstruct', 'waste', 'water', 'toilets', 'tub', 'showers', 'vanities', 'kitchen', 'sink', 'washing', 'machine', 'install', 'gal', 'electric', 'water', 'heater', 'install', 'sewage', 'ejector', 'pit', 'pump', 'install', 'sump', 'drain', 'tile', 'install', 'gas', 'line', '1-40', 'btu', 'stove', '1-75', 'btu', 'furnace', 'hvac', 'electric', 'electric', 'others', 'done', 'curbing', 'underpinning']",7500.0,349900.0,2014
247097,515 S POTOMAC ST,39.285744,-76.574338,1793046,08/14/2014,(3) -3 piece bath group (1) 2 piece bath install group  kitchen sink  dishwasher  washer box  2 hose bibs  sewage ejector  electric water heater gas line to (1) furnace and (1) stove 150 amp service and add 12 circuits as per code,"['-3', 'piece', 'bath', 'group', 'piece', 'bath', 'install', 'group', 'kitchen', 'sink', 'dishwasher', 'washer', 'box', 'hose', 'bibs', 'sewage', 'ejector', 'electric', 'water', 'heater', 'gas', 'line', 'furnace', 'stove', 'amp', 'service', 'add', 'circuits']",6800.0,327900.0,2014
246817,1807 GOUGH ST,39.287739,-76.590994,1763061,08/11/2014,rough in all new sanitary and water piping for 2.5 bathrooms  one kitchen and a washer room. install sewage ejector pit w/pump in the basement for 1/2 bathroom. all piping will be new sch 40 pvc and cpvc. install new gas lines to serve a gas range 40 000 and one gas furnace 60 000 btu's as per code.                         * hvac by others *,"['rough', 'sanitary', 'water', 'piping', '2.5', 'bathrooms', 'one', 'kitchen', 'washer', 'room', 'install', 'sewage', 'ejector', 'pit', 'w/pump', 'basement', '1/2', 'bathroom', 'piping', 'sch', 'pvc', 'cpvc', 'install', 'gas', 'lines', 'serve', 'gas', 'range', 'one', 'gas', 'furnace', 'btu', ""'s"", '*', 'hvac', 'others', '*']",7500.0,387000.0,2014
246394,2028 JEFFERSON ST,39.296505,-76.587945,1651044,08/05/2014,set new fixtures (14): (4) toilets  (4) vanities  trim  tub faucets. (1) electric water heater. (1) gas stove 78 000 btu's  (1) gas furnace 72 000 btu's. install gas line to gas meter after gbe installs meter. (1) sump pump  (1) sewage ejector pump  (1) kitchen faucet with drain as per code.                                  * electric & hvac by others *,"['set', 'fixtures', 'toilets', 'vanities', 'trim', 'tub', 'faucets', 'electric', 'water', 'heater', 'gas', 'stove', 'btu', ""'s"", 'gas', 'furnace', 'btu', ""'s"", 'install', 'gas', 'line', 'gas', 'meter', 'gbe', 'installs', 'meter', 'sump', 'pump', 'sewage', 'ejector', 'pump', 'kitchen', 'faucet', 'drain', '*', 'electric', 'hvac', 'others', '*']",1500.0,82667.0,2014
225342,600 N ROBINSON ST,39.298436,-76.573045,1647038,12/24/2013,install ductwork & bath fans  (1) 75 000 btu furnace  2 1/2 ton a/c unit. (1) 60 gal electric hot water heater  3 toilets  3 lavatory sinks. 3 bath tubs  1 kitchen sink  1 dishwasher  2 hose bibs  1 washer box  ice maker box. 1 sewage ejector pump. reconstruct water an waste piping. install gas pipe for new meter as per code.,"['install', 'ductwork', 'bath', 'fans', 'btu', 'furnace', '1/2', 'ton', 'a/c', 'unit', 'gal', 'electric', 'hot', 'water', 'heater', 'toilets', 'lavatory', 'sinks', 'bath', 'tubs', 'kitchen', 'sink', 'dishwasher', 'hose', 'bibs', 'washer', 'box', 'ice', 'maker', 'box', 'sewage', 'ejector', 'pump', 'reconstruct', 'water', 'waste', 'piping', 'install', 'gas', 'pipe', 'meter']",4000.0,50567.0,2013
224390,815 S BELNORD AVE,39.282589,-76.577668,1867086,12/17/2013,reconstruct waste and water for (3) toilets  (2) tubs  (1) shower  (3) vanities and (1) kitchen sink. install (1) 50 gallon electric water heater. install new gas lines for (1) 75 000 btu furnace and (1) 40 000 btu stove. install sewage  ejector. install sump pump pit and drain tile as per code.                                   * hvac & electric by others *,"['reconstruct', 'waste', 'water', 'toilets', 'tubs', 'shower', 'vanities', 'kitchen', 'sink', 'install', 'gallon', 'electric', 'water', 'heater', 'install', 'gas', 'lines', 'btu', 'furnace', 'btu', 'stove', 'install', 'sewage', 'ejector', 'install', 'sump', 'pump', 'pit', 'drain', 'tile', '*', 'hvac', 'electric', 'others', '*']",6000.0,334300.0,2013
223941,1600 MONTPELIER ST,39.320677,-76.596632,4120043,12/11/2013,install 2 gas applicances  1 stove 55k btu  1 dryer 45k btus  1 sewage ejector pit  powder room  1 toilet and 1 sink  1 laundry box  1 eletric heater as per code.,"['install', 'gas', 'applicances', 'stove', '55k', 'btu', 'dryer', '45k', 'btus', 'sewage', 'ejector', 'pit', 'powder', 'room', 'toilet', 'sink', 'laundry', 'box', 'eletric', 'heater']",2000.0,21333.0,2013
223466,835 S SHARP ST 8,39.27941,-76.618165,0902064,12/03/2013,amend permit #com2013-23374  issued on 10/31/2013 without plans to add the following additional work: alter sanitary line and install fixture (sewage ejector) as per code. original permit description:(com2013-23374)interior work 260 sqft: frame new bathroom walls 2x4 16'' o.c. bust up concrete to install new drain pipes. install new drywall  shower pan and surround  toilet and sink. install new pocket door and tile floor 2 circuits and 4 fixtures being altered as per code/ drawings,"['amend', 'com2013-23374', 'issued', '10/31/2013', 'without', 'plans', 'add', 'following', 'additional', 'alter', 'sanitary', 'line', 'install', 'fixture', 'sewage', 'ejector', 'original', 'description', 'com2013-23374', 'interior', 'sqft', 'frame', 'bathroom', 'walls', '2x4', ""''"", 'o.c', 'bust', 'concrete', 'install', 'drain', 'pipes', 'install', 'drywall', 'shower', 'pan', 'surround', 'toilet', 'sink', 'install', 'pocket', 'door', 'tile', 'floor', 'circuits', 'fixtures', 'altered', 'code/', 'drawings']",200.0,406900.0,2013
624793,118 E HAMBURG ST,39.278305,-76.611585,0919014,09/13/2013,rough in one basement bath and sewage injector pit as per code,"['rough', 'one', 'basement', 'bath', 'sewage', 'injector', 'pit']",1000.0,265800.0,2013
223369,1847 COVINGTON ST,39.268812,-76.606429,1945024,12/02/2013,install 30 x9 concrete slab in basement on existing dirt. install drain tile around perimeter. install sump and sewage basin only. install 4 inches of gravel and 6 ml vapor barrier and wire reinforcement. install mira drain /waffle board around perimeter  install 4 inches of concrete. no curbing or underpinning. work done as per code.,"['install', 'x9', 'concrete', 'slab', 'basement', 'existing', 'dirt', 'install', 'drain', 'tile', 'around', 'perimeter', 'install', 'sump', 'sewage', 'basin', 'install', 'inches', 'gravel', 'ml', 'vapor', 'barrier', 'wire', 'reinforcement', 'install', 'mira', 'drain', '/waffle', 'board', 'around', 'perimeter', 'install', 'inches', 'concrete', 'curbing', 'underpinning', 'done']",2000.0,370700.0,2013
179797,1800 KEY HWY,39.2685,-76.600842,2059001,10/16/2013,3 new sewage pumps  new hvac and plumbing  new electrical and controls  new roofing  powerwash interior and exterior of the building  new 10 inches force main  new 100kw generator and 2 new sump pumps.,"['sewage', 'pumps', 'hvac', 'plumbing', 'electrical', 'controls', 'roofing', 'powerwash', 'interior', 'exterior', 'building', 'inches', 'force', 'main', '100kw', 'generator', 'sump', 'pumps']",1500000.0,333700.0,2013
90834,1457 REYNOLDS ST,39.26828,-76.590215,2022B011,04/04/2013,reconstruct waste and water for 3 toilets  2 showers  1 tub  1 washing machine  1 kitchen sink. install 1-50 gallon electric water heater  install gas lines for 1-75 000 btu furnace and 1-40 000 btu stove. install pressure reducing valve. installed sump pump pit and drain tile. install sewage ejector. hvac and electric by others. all work does. work done to code.,"['reconstruct', 'waste', 'water', 'toilets', 'showers', 'tub', 'washing', 'machine', 'kitchen', 'sink', 'install', '1-50', 'gallon', 'electric', 'water', 'heater', 'install', 'gas', 'lines', '1-75', 'btu', 'furnace', '1-40', 'btu', 'stove', 'install', 'pressure', 'reducing', 'valve', 'installed', 'sump', 'pump', 'pit', 'drain', 'tile', 'install', 'sewage', 'ejector', 'hvac', 'electric', 'others', 'done']",5800.0,367900.0,2013
611002,517 S KENWOOD AVE,39.285581,-76.577139,1791019,04/15/2013,reconstruct waste and water for 3 toilets  1 showers  1 tub  1 washing machine  1 kitchen sink  3 vanities. install (1) 50 gallon electric water heater. install gas lines for (1) 75 000 btu furnace and (1) 40 000 btu stove. install pressure reducing valve. install sump pump  pit and drain tile. install sewage ejector as per code. *hvac & electric by others*,"['reconstruct', 'waste', 'water', 'toilets', 'showers', 'tub', 'washing', 'machine', 'kitchen', 'sink', 'vanities', 'install', 'gallon', 'electric', 'water', 'heater', 'install', 'gas', 'lines', 'btu', 'furnace', 'btu', 'stove', 'install', 'pressure', 'reducing', 'valve', 'install', 'sump', 'pump', 'pit', 'drain', 'tile', 'install', 'sewage', 'ejector', '*hvac', 'electric', 'others*']",5500.0,326100.0,2013
611580,5311 HAMLET AVE,39.353834,-76.566871,5396A026,04/15/2013,replace water and drain line install 1 tub  1 shower  2 toilets  2 sinks  1 kit sink  1 washer hook up  1 sewage pit and pump. run gas line fro furnace 100 000  1 stove 40 000 1 hot water 40 000 1 dryer 40 000 as per code.,"['replace', 'water', 'drain', 'line', 'install', 'tub', 'shower', 'toilets', 'sinks', 'kit', 'sink', 'washer', 'hook', 'sewage', 'pit', 'pump', 'run', 'gas', 'line', 'fro', 'furnace', 'stove', 'hot', 'water', 'dryer']",7000.0,194400.0,2013
612590,3209 BONNIE ROAD,39.370124,-76.70169,4203132,04/26/2013,install interior and exterior plumbing and interior gas work per code.  install 36 plumbing fixtures. install sewer and water house service connection. install 3 gas furnace 300 000 btu  2-gas water heater  400 000 btu  1 gas dryer 40 000 btu  3 gas cooktops  90 000 btu  1 gas grill 40 000 btu  install sewage ejector pump and 1 dual check valve. work done to code.,"['install', 'interior', 'exterior', 'plumbing', 'interior', 'gas', 'install', 'plumbing', 'fixtures', 'install', 'sewer', 'water', 'house', 'service', 'connection', 'install', 'gas', 'furnace', 'btu', '2-gas', 'water', 'heater', 'btu', 'gas', 'dryer', 'btu', 'gas', 'cooktops', 'btu', 'gas', 'grill', 'btu', 'install', 'sewage', 'ejector', 'pump', 'dual', 'check', 'valve', 'done']",38000.0,881867.0,2013
612723,3501-3801 BOSTON  ST,39.277139,-76.565261,6505001,06/04/2013,amend permit  com2012-20155 ( plan # 2012-1776 ) already permitted target store within the canton crossing development to  add a sewage ejector in the front sidewalk to match the inverts of the sanitary sewer to the site sanitary line as per plans and as per code.,"['amend', 'com2012-20155', 'plan', '2012-1776', 'already', 'permitted', 'target', 'store', 'within', 'canton', 'crossing', 'development', 'add', 'sewage', 'ejector', 'front', 'sidewalk', 'match', 'inverts', 'sanitary', 'sewer', 'site', 'sanitary', 'line', 'plans']",1.0,49333700.0,2013
612724,3501-3801 BOSTON  ST,39.277139,-76.565261,6505001,06/04/2013,amend permit  com2012-20155 ( plan # 2012-1776 ) already permitted target store within the canton crossing development to  add a sewage ejector in the front sidewalk to match the inverts of the sanitary sewer to the site sanitary line as per plans and as per code.,"['amend', 'com2012-20155', 'plan', '2012-1776', 'already', 'permitted', 'target', 'store', 'within', 'canton', 'crossing', 'development', 'add', 'sewage', 'ejector', 'front', 'sidewalk', 'match', 'inverts', 'sanitary', 'sewer', 'site', 'sanitary', 'line', 'plans']",1.0,49333700.0,2013
613592,159 N DECKER AVE,39.294519,-76.574177,1714070,05/13/2013,install sewage ejector pump in basement for new bathroom (1) toilet  (1) lav  and (1) tub. install/replace (1) 40 gallon natural gas water heater. replace (1) boiler with new 100 000 btu natural gas boiler. install/replace water lines for (1) kitchen faucet  (1) tub  (1) lav  (1) toilet. install laundry tub & (1) washer as per code.,"['install', 'sewage', 'ejector', 'pump', 'basement', 'bathroom', 'toilet', 'lav', 'tub', 'install/replace', 'gallon', 'natural', 'gas', 'water', 'heater', 'replace', 'boiler', 'btu', 'natural', 'gas', 'boiler', 'install/replace', 'water', 'lines', 'kitchen', 'faucet', 'tub', 'lav', 'toilet', 'install', 'laundry', 'tub', 'washer']",4000.0,118800.0,2013
614520,2632 E BALTIMORE ST,39.29211,-76.579425,1727049,05/23/2013,installing bathroom ground work in basement and drain tile with sump pump pit. bathroom grund work gets sewage ejector pit and kitchen sink as per code.,"['installing', 'bathroom', 'ground', 'basement', 'drain', 'tile', 'sump', 'pump', 'pit', 'bathroom', 'grund', 'gets', 'sewage', 'ejector', 'pit', 'kitchen', 'sink']",1500.0,295267.0,2013
617013,6300 MAYFLOWER ROAD,39.369721,-76.606982,5123006,06/28/2013,upgrade electrical service from 100 to 200 amp. install circuits for bathroom. install circuits for laundry  sewage ejector and sump pump. replace existing knob and tube wiring with new circuits (10 total) as per code.,"['upgrade', 'electrical', 'service', 'amp', 'install', 'circuits', 'bathroom', 'install', 'circuits', 'laundry', 'sewage', 'ejector', 'sump', 'pump', 'replace', 'existing', 'knob', 'tube', 'wiring', 'circuits', 'total']",8000.0,156967.0,2013
619996,317 E 25TH ST,39.317993,-76.612243,3827031,07/19/2013,remove and replace (3) plumbing fixtures in existing location. replace water and drain piping. install sewage ejector pump. all work done as per code.,"['remove', 'replace', 'plumbing', 'fixtures', 'existing', 'location', 'replace', 'water', 'drain', 'piping', 'install', 'sewage', 'ejector', 'pump', 'done']",2000.0,191400.0,2013
622810,3322 FAIT AVE,39.283459,-76.569146,6440002,08/29/2013,reconstruct waste and water for 3 toilets   2 showers  1 tub  & 1 kitchen sink. install 1-50 gallon electric water heater. install gas lines for 1 75 000 btu furnaces  and 1 40 000 btu stove. install pressure reducing valve. install sump pump pit  and drain tile. install sewage ejector hvac and electric by others all work done to code,"['reconstruct', 'waste', 'water', 'toilets', 'showers', 'tub', 'kitchen', 'sink', 'install', '1-50', 'gallon', 'electric', 'water', 'heater', 'install', 'gas', 'lines', 'btu', 'furnaces', 'btu', 'stove', 'install', 'pressure', 'reducing', 'valve', 'install', 'sump', 'pump', 'pit', 'drain', 'tile', 'install', 'sewage', 'ejector', 'hvac', 'electric', 'others', 'done']",5000.0,491767.0,2013
623899,814 S HIGHLAND AVE,39.283086,-76.568779,6450037,09/16/2013,rough in 3 1/2 new baths with kitchen and laundry with sewage pump in basement. run gas lines to 50 000 btu furnace and 30 000 btu stove. hvac by others. all work done as per code.,"['rough', '1/2', 'baths', 'kitchen', 'laundry', 'sewage', 'pump', 'basement', 'run', 'gas', 'lines', 'btu', 'furnace', 'btu', 'stove', 'hvac', 'others', 'done']",4000.0,384433.0,2013
52463,3502 CHESTNUT AVE,39.330082,-76.629351,3532029,07/08/2013,install plumbing for three and half bath  kitchen  laundrybox. gas to furnace 90 000 btu and stove 35 000 btu  sump pump  and drain tile   sewage pump as per code.,"['install', 'plumbing', 'three', 'half', 'bath', 'kitchen', 'laundrybox', 'gas', 'furnace', 'btu', 'stove', 'btu', 'sump', 'pump', 'drain', 'tile', 'sewage', 'pump']",5200.0,312600.0,2013
624031,234 S WOLFE ST,39.288368,-76.590265,1754056,09/16/2013,rough in 3 1/2 new baths with kitchen and laundry with sewage pump in basement. run gas lines to 50 000 btu furnace and 30 000 btu stove. hvac by others. all work done as per code.,"['rough', '1/2', 'baths', 'kitchen', 'laundry', 'sewage', 'pump', 'basement', 'run', 'gas', 'lines', 'btu', 'furnace', 'btu', 'stove', 'hvac', 'others', 'done']",4000.0,369800.0,2013
624452,33 E HAMBURG ST,39.278198,-76.612892,0934A044,09/16/2013,rough in 3 1/2 new baths with kitchen and laundry with sewage pump in basement. run gas lines to 50 000 btu furnace and 30 000 btu stove. hvac by others. all work done as per code.,"['rough', '1/2', 'baths', 'kitchen', 'laundry', 'sewage', 'pump', 'basement', 'run', 'gas', 'lines', 'btu', 'furnace', 'btu', 'stove', 'hvac', 'others', 'done']",4000.0,354000.0,2013
222838,1815 MOSHER ST,39.299786,-76.646999,0072025,11/19/2013,install sanitary tub with sewage ejector. install new water service line . no gas. as per code. (expired permit had partial rough in com2012-24520),"['install', 'sanitary', 'tub', 'sewage', 'ejector', 'install', 'water', 'service', 'line', 'gas', 'expired', 'partial', 'rough', 'com2012-24520']",2000.0,16200.0,2013
223414,3402 HARMONY CT,39.281989,-76.568269,6462059,12/05/2013,reconstruct sanitary and water system. install (2) 3-fixture bathroom  sewage ejector  gas furnace 50 000 btu's  stove 40 000 btu  water heater 110 000 btu's. install new ductwork  (2) exhaust fans  (1) kitchen sink  dish washer and garbage disposal and washer box as per code.                           * hvac by others *,"['reconstruct', 'sanitary', 'water', 'system', 'install', '3-fixture', 'bathroom', 'sewage', 'ejector', 'gas', 'furnace', 'btu', ""'s"", 'stove', 'btu', 'water', 'heater', 'btu', ""'s"", 'install', 'ductwork', 'exhaust', 'fans', 'kitchen', 'sink', 'dish', 'washer', 'garbage', 'disposal', 'washer', 'box', '*', 'hvac', 'others', '*']",10000.0,173667.0,2013
